split,K,tau,theta
calibration,0.9906085990371303,9.549744838228994,2.378058466517446
calibration,0.998896655207001,9.994134999038852,1.9214288121801921
calibration,1.012258421913661,10.52750005646321,1.966434815327725
calibration,0.9919890992404152,9.973284754713053,2.023851701551212
calibration,0.9915740899442039,10.198682676114181,1.9999999937174457
calibration,1.0070758583750918,10.489122921222114,1.8739215701068845
calibration,0.994903774582165,10.176539163098907,2.057870012110332
calibration,0.9995624117521019,10.270992433434417,1.9672434761887647
calibration,0.9947301381874905,9.828988129654569,1.889277134716897
calibration,1.0067293885728779,10.593129967243614,1.7424271388348915
calibration,0.9873397787211049,9.810561900876209,2.1112994206435194
calibration,1.0032250803979899,10.3498570596808,1.8408382877129492
calibration,0.9971570355790115,10.058001851630914,2.1353265725779105
calibration,0.9788172944789675,9.848121117469935,1.9813204425154374
calibration,1.0233653115367378,10.516337456392948,2.0532828421103337
calibration,0.9697550197999337,9.68406704919814,1.9199409297252388
calibration,0.9867473549996933,9.692857120306202,2.133595634551279
calibration,0.9984730196926436,10.005387483363897,2.0479854330505503
calibration,0.9886727721343451,10.003327459668565,1.999997316322235
calibration,1.0002497312553336,10.488962526859545,1.9999999945414029
calibration,0.9834807991864511,9.830294281383432,2.011040578485013
calibration,0.9730366691454865,9.590710443384062,2.041664243145683
calibration,1.007848516138975,10.507492525422501,1.9001022315805085
calibration,1.0010323120065439,10.339034964036964,1.8665892310110246
calibration,0.9922001965570324,10.095286345549543,1.9269952856445256
calibration,0.9837154648771798,9.718119791308697,2.1047185420314234
calibration,0.9695862581035674,9.245176009004364,2.2296781902267986
calibration,1.001894107022604,10.28072158570259,1.9999996119341348
calibration,0.9985037079334562,10.051613541381505,2.101201291359013
calibration,1.0143383713448375,10.564609165274966,1.8745699920300771
calibration,1.0117611933269919,10.240336217873654,2.1401702095082786
calibration,0.982478658387644,9.77719364152982,1.9015262449737453
calibration,0.9961206743553481,10.349253407251814,1.8997905028770221
calibration,0.9934752645886704,10.068193017491865,1.8736315235318879
calibration,0.9928517735669053,9.9844084910298,1.9468117182664764
calibration,0.9995546968817135,10.110865305776702,2.0646163148265946
calibration,0.9959817900984735,10.05959795889341,2.0421930544845663
calibration,0.999182949502794,10.210146140758608,1.89610645003882
calibration,1.0129578320024066,10.602435271701257,1.9588512900980184
calibration,0.9915534244591582,9.783530637159393,2.1140658963482726
calibration,1.0031628747721688,10.283829105971849,2.031706244309541
calibration,0.9876487307737586,9.87865519310703,1.9454739106028336
calibration,1.0147433841224445,10.638799267614115,1.8350301890065317
calibration,0.995196110182295,9.967034122513748,2.049324300211855
calibration,0.9967904163654111,10.123311931780982,2.0000000417061257
calibration,0.9938915794778609,9.795486731605823,2.3086161450482217
calibration,0.9664953393373213,9.085994403026232,2.3604511881089962
calibration,0.9897883471250046,9.887930315720267,2.0072355453813078
calibration,1.0012596246608036,10.476578661004602,1.9064387098128939
